"title","area","tracks","slowr1_intro","slowr1_diff","slowr2_index","slowr2_diff","slowr3_funcs","slowr3_diff","fastr1_ef","fastr1_diff","fastr2_sem","fastr2_diff","fastr3_pc","fastr3_diff","rer_rate","rer_diff","day2_1_dwrangling","day21_diff_","day2_2_vis","day2_2_diff","day2_3_core","day2_3_diff","day2_4_analyses","day2_4_diff","other_topics","other_feedback"
"Grad","Social ","1",6.45,"2",1,"2",6.75,NA,1,"1",1,"1",1,NA,6.2,"2",6.45,"2",6.75,"2",6.5,"2",7,"2","",""
"Grad","Social ","3",6.45,"2",1,"2",6.75,NA,1,"1",1,"1",1,NA,6.2,"2",6.45,"2",6.75,"2",6.5,"2",7,"2","",""
